,0,1,2,3,4,5
0,Finals,Boston Celtics tied with Golden State Warriors  (1-1),Series Stats,,,
1,"Game 1 Thu, June 2 Boston Celtics 120@ Golden State Warriors 108 Game 2 Sun, June 5 Boston Celtics 88@ Golden State Warriors 107 Game 3 Wed, June 8 Golden State Warriors @ Boston Celtics Game 4 Fri, June 10 Golden State Warriors @ Boston Celtics Game 5 Mon, June 13 Boston Celtics @ Golden State Warriors Game 6 Thu, June 16 Golden State Warriors @ Boston Celtics Game 7 Sun, June 19 Boston Celtics @ Golden State Warriors","Game 1 Thu, June 2 Boston Celtics 120@ Golden State Warriors 108 Game 2 Sun, June 5 Boston Celtics 88@ Golden State Warriors 107 Game 3 Wed, June 8 Golden State Warriors @ Boston Celtics Game 4 Fri, June 10 Golden State Warriors @ Boston Celtics Game 5 Mon, June 13 Boston Celtics @ Golden State Warriors Game 6 Thu, June 16 Golden State Warriors @ Boston Celtics Game 7 Sun, June 19 Boston Celtics @ Golden State Warriors","Game 1 Thu, June 2 Boston Celtics 120@ Golden State Warriors 108 Game 2 Sun, June 5 Boston Celtics 88@ Golden State Warriors 107 Game 3 Wed, June 8 Golden State Warriors @ Boston Celtics Game 4 Fri, June 10 Golden State Warriors @ Boston Celtics Game 5 Mon, June 13 Boston Celtics @ Golden State Warriors Game 6 Thu, June 16 Golden State Warriors @ Boston Celtics Game 7 Sun, June 19 Boston Celtics @ Golden State Warriors",,,
2,Game 1,"Thu, June 2",Boston Celtics,120.0,@ Golden State Warriors,108.0
3,Game 2,"Sun, June 5",Boston Celtics,88.0,@ Golden State Warriors,107.0
4,Game 3,"Wed, June 8",Golden State Warriors,,@ Boston Celtics,
5,Game 4,"Fri, June 10",Golden State Warriors,,@ Boston Celtics,
6,Game 5,"Mon, June 13",Boston Celtics,,@ Golden State Warriors,
7,Game 6,"Thu, June 16",Golden State Warriors,,@ Boston Celtics,
8,Game 7,"Sun, June 19",Boston Celtics,,@ Golden State Warriors,
9,,,,,,
10,Eastern Conference Finals,Boston Celtics over Miami Heat  (4-3),Series Stats,,,
